place_of_birth,topic,topic_disaggregation,year,count,year_total,percent_total
Birth centre,Maternal age,20-24,2012,918,41805,2.2
Birth centre,Maternal age,25-29,2012,2130,85537,2.5
Birth centre,Maternal age,30-34,2012,2324,100094,2.3
Birth centre,Maternal age,35-39,2012,1138,55685,2
Birth centre,Maternal age,40 and over,2012,206,13323,1.5
Birth centre,Maternal age,Not stated,2012,1,67,0
Home,Maternal age,Less than 20,2012,10,11059,0.1
Home,Maternal age,20-24,2012,75,41805,0.2
Home,Maternal age,25-29,2012,293,85537,0.3
Home,Maternal age,30-34,2012,427,100094,0.4
Home,Maternal age,35-39,2012,303,55685,0.5
Home,Maternal age,40 and over,2012,61,13323,0.5
Home,Maternal age,Not stated,2012,8,67,0.1
Other,Maternal age,Less than 20,2012,84,11059,0.8
Other,Maternal age,20-24,2012,242,41805,0.6
Other,Maternal age,25-29,2012,356,85537,0.4
Other,Maternal age,30-34,2012,378,100094,0.4
Other,Maternal age,35-39,2012,218,55685,0.4
Other,Maternal age,40 and over,2012,55,13323,0.4
Other,Maternal age,Not stated,2012,0,67,0
Not stated,Maternal age,Less than 20,2012,1,11059,0
Not stated,Maternal age,20-24,2012,2,41805,0
Not stated,Maternal age,25-29,2012,12,85537,0
Not stated,Maternal age,30-34,2012,13,100094,0
Not stated,Maternal age,35-39,2012,5,55685,0
Not stated,Maternal age,40 and over,2012,2,13323,0
Not stated,Maternal age,Not stated,2012,0,67,0
Hospital,Parity,None,2012,127663,130567,97.8
Hospital,Parity,One,2012,98241,101961,96.4
Hospital,Parity,Two,2012,41765,43390,96.3
Hospital,Parity,Three,2012,14759,15337,96.2
Hospital,Parity,Four or more,2012,10319,10721,96.3
Hospital,Parity,Not stated,2012,5336,5594,95.4
Birth centre,Parity,None,2012,2489,130567,1.9
Birth centre,Parity,One,2012,2780,101961,2.7
Birth centre,Parity,Two,2012,1146,43390,2.6
Birth centre,Parity,Three,2012,342,15337,2.2
Birth centre,Parity,Four or more,2012,180,10721,1.7
Birth centre,Parity,Not stated,2012,5,5594,0.1
Home,Parity,None,2012,203,130567,0.2
Home,Parity,One,2012,365,101961,0.4
Home,Parity,Two,2012,203,43390,0.5
Home,Parity,Three,2012,90,15337,0.6
Home,Parity,Four or more,2012,74,10721,0.7
Home,Parity,Not stated,2012,242,5594,4.3
Other,Parity,None,2012,201,130567,0.2
Other,Parity,One,2012,562,101961,0.6
Other,Parity,Two,2012,274,43390,0.6
Other,Parity,Three,2012,143,15337,0.9
Other,Parity,Four or more,2012,147,10721,1.4
Other,Parity,Not stated,2012,6,5594,0.1
Not stated,Parity,None,2012,11,130567,0
Not stated,Parity,One,2012,13,101961,0
Not stated,Parity,Two,2012,2,43390,0
Not stated,Parity,Three,2012,3,15337,0
Not stated,Parity,Four or more,2012,1,10721,0
Not stated,Parity,Not stated,2012,5,5594,0.1
Hospital,Remoteness area,Major cities,2012,206094,213575,96.5
Hospital,Remoteness area,Inner regional,2012,49293,50432,97.7
Hospital,Remoteness area,Outer regional,2012,26081,26757,97.5
Hospital,Remoteness area,Remote,2012,4734,4792,98.8
Hospital,Remoteness area,Very remote,2012,3054,3131,97.5
Birth centre,Remoteness area,Major cities,2012,5768,213575,2.7
Birth centre,Remoteness area,Inner regional,2012,683,50432,1.4
Birth centre,Remoteness area,Outer regional,2012,434,26757,1.6
Birth centre,Remoteness area,Remote,2012,18,4792,0.4
Birth centre,Remoteness area,Very remote,2012,17,3131,0.6
Home,Remoteness area,Major cities,2012,877,213575,0.4
Home,Remoteness area,Inner regional,2012,198,50432,0.4
Home,Remoteness area,Outer regional,2012,73,26757,0.3
Other,Remoteness area,Major cities,2012,811,213575,0.4
Other,Remoteness area,Inner regional,2012,252,50432,0.5
Other,Remoteness area,Outer regional,2012,164,26757,0.6
Not stated,Remoteness area,Major cities,2012,25,213575,0
Not stated,Remoteness area,Inner regional,2012,5,50432,0
Not stated,Remoteness area,Outer regional,2012,5,26757,0
Not stated,Remoteness area,Remote,2012,0,4792,0
Not stated,Remoteness area,Very remote,2012,0,3131,0
Hospital,Socioeconomic status,Q1 (most disadvantaged),2012,63239,65029,97.2
Hospital,Socioeconomic status,Q2,2012,58360,60246,96.9
Hospital,Socioeconomic status,Q3,2012,57361,59220,96.9
Hospital,Socioeconomic status,Q4,2012,56871,58812,96.7
Hospital,Socioeconomic status,Q5 (least disadvantaged),2012,53385,55338,96.5
Hospital,Socioeconomic status,Not stated,2012,8659,8706,99.5
Birth centre,Socioeconomic status,Q1 (most disadvantaged),2012,1167,65029,1.8
Birth centre,Socioeconomic status,Q2,2012,1404,60246,2.3
Birth centre,Socioeconomic status,Q3,2012,1335,59220,2.3
Birth centre,Socioeconomic status,Q4,2012,1478,58812,2.5
Birth centre,Socioeconomic status,Q5 (least disadvantaged),2012,1536,55338,2.8
Birth centre,Socioeconomic status,Not stated,2012,22,8706,0.3
Home,Socioeconomic status,Q1 (most disadvantaged),2012,155,65029,0.2
Home,Socioeconomic status,Q2,2012,220,60246,0.4
Home,Socioeconomic status,Q3,2012,277,59220,0.5
Home,Socioeconomic status,Q4,2012,273,58812,0.5
Home,Socioeconomic status,Q5 (least disadvantaged),2012,241,55338,0.4
Home,Socioeconomic status,Not stated,2012,6,8706,0.1
Other,Socioeconomic status,Q1 (most disadvantaged),2012,456,65029,0.7
Other,Socioeconomic status,Q2,2012,257,60246,0.4
Other,Socioeconomic status,Q3,2012,239,59220,0.4
Other,Socioeconomic status,Q4,2012,184,58812,0.3
Other,Socioeconomic status,Q5 (least disadvantaged),2012,172,55338,0.3
Other,Socioeconomic status,Not stated,2012,19,8706,0.2
Not stated,Socioeconomic status,Q1 (most disadvantaged),2012,12,65029,0
Not stated,Socioeconomic status,Q2,2012,5,60246,0
Not stated,Socioeconomic status,Q3,2012,8,59220,0
Not stated,Socioeconomic status,Q4,2012,6,58812,0
Not stated,Socioeconomic status,Q5 (least disadvantaged),2012,4,55338,0
Not stated,Socioeconomic status,Not stated,2012,0,8706,0
Hospital,State and territory of birth,NSW,2012,94588,98138,96.4
Hospital,State and territory of birth,Vic,2012,75611,77170,98
Hospital,State and territory of birth,Qld,2012,61089,62650,97.5
Hospital,State and territory of birth,WA,2012,32858,33393,98.4
Hospital,State and territory of birth,SA,2012,18767,20338,92.3
Hospital,State and territory of birth,Tas,2012,5799,5863,98.9
Hospital,State and territory of birth,ACT,2012,5618,6035,93.1
Hospital,State and territory of birth,NT,2012,3753,3983,94.2
Birth centre,State and territory of birth,NSW,2012,2837,98138,2.9
Birth centre,State and territory of birth,Vic,2012,845,77170,1.1
Birth centre,State and territory of birth,Qld,2012,1027,62650,1.6
Birth centre,State and territory of birth,WA,2012,325,33393,1
Birth centre,State and territory of birth,SA,2012,1378,20338,6.8
Birth centre,State and territory of birth,Tas,2012,27,5863,0.5
Birth centre,State and territory of birth,ACT,2012,375,6035,6.2
Birth centre,State and territory of birth,NT,2012,128,3983,3.2
Home,State and territory of birth,NSW,2012,191,98138,0.2
Home,State and territory of birth,Vic,2012,547,77170,0.7
Home,State and territory of birth,Qld,2012,84,62650,0.1
Home,State and territory of birth,WA,2012,210,33393,0.6
Home,State and territory of birth,SA,2012,95,20338,0.5
Home,State and territory of birth,Tas,2012,11,5863,0.2
Home,State and territory of birth,ACT,2012,7,6035,0.1
Home,State and territory of birth,NT,2012,32,3983,0.8
Other,State and territory of birth,NSW,2012,497,98138,0.5
Other,State and territory of birth,Vic,2012,158,77170,0.2
Other,State and territory of birth,Qld,2012,449,62650,0.7
Other,State and territory of birth,WA,2012,0,33393,0
Other,State and territory of birth,SA,2012,98,20338,0.5
Other,State and territory of birth,Tas,2012,26,5863,0.4
Other,State and territory of birth,ACT,2012,35,6035,0.6
Other,State and territory of birth,NT,2012,70,3983,1.8
Not stated,State and territory of birth,NSW,2012,25,98138,0
Not stated,State and territory of birth,Vic,2012,9,77170,0
Not stated,State and territory of birth,Qld,2012,1,62650,0
Not stated,State and territory of birth,WA,2012,0,33393,0
Not stated,State and territory of birth,SA,2012,0,20338,0
Not stated,State and territory of birth,Tas,2012,0,5863,0
Not stated,State and territory of birth,ACT,2012,0,6035,0
Not stated,State and territory of birth,NT,2012,0,3983,0
Hospital,Country of birth (mother),Born in Australia,2013,202592,208402,97.2
Hospital,Country of birth (mother),Born overseas,2013,92597,94697,97.8
Hospital,Country of birth (mother),Not stated,2013,1422,1678,84.7
Birth centre,Country of birth (mother),Born in Australia,2013,4395,208402,2.1
Birth centre,Country of birth (mother),Born overseas,2013,1671,94697,1.8
Birth centre,Country of birth (mother),Not stated,2013,19,1678,1.1
Home,Country of birth (mother),Born in Australia,2013,581,208402,0.3
Home,Country of birth (mother),Born overseas,2013,145,94697,0.2
Home,Country of birth (mother),Not stated,2013,232,1678,13.8
Other,Country of birth (mother),Born in Australia,2013,749,208402,0.4
Other,Country of birth (mother),Born overseas,2013,230,94697,0.2
Other,Country of birth (mother),Not stated,2013,5,1678,0.3
Not stated,Country of birth (mother),Born in Australia,2013,85,208402,0
Not stated,Country of birth (mother),Born overseas,2013,54,94697,0.1
Not stated,Country of birth (mother),Not stated,2013,0,1678,0
Hospital,Indigenous status (mother),Indigenous,2013,12082,12380,97.6
Hospital,Indigenous status (mother),Non-Indigenous,2013,283871,291700,97.3
Hospital,Indigenous status (mother),Not stated,2013,658,697,94.4
Birth centre,Indigenous status (mother),Indigenous,2013,170,12380,1.4
Birth centre,Indigenous status (mother),Non-Indigenous,2013,5907,291700,2
Birth centre,Indigenous status (mother),Not stated,2013,8,697,1.1
Home,Indigenous status (mother),Indigenous,2013,7,12380,0.1
Home,Indigenous status (mother),Non-Indigenous,2013,926,291700,0.3
Home,Indigenous status (mother),Not stated,2013,25,697,3.6
Other,Indigenous status (mother),Indigenous,2013,118,12380,1
Other,Indigenous status (mother),Non-Indigenous,2013,862,291700,0.3
Other,Indigenous status (mother),Not stated,2013,4,697,0.6
Not stated,Indigenous status (mother),Indigenous,2013,3,12380,0
Not stated,Indigenous status (mother),Non-Indigenous,2013,134,291700,0
Not stated,Indigenous status (mother),Not stated,2013,2,697,0.3
Hospital,Maternal age,Less than 20,2013,9975,10186,97.9
Hospital,Maternal age,20-24,2013,40136,41163,97.5
Hospital,Maternal age,25-29,2013,81559,83916,97.2
Hospital,Maternal age,30-34,2013,98759,101618,97.2
Hospital,Maternal age,35-39,2013,53011,54444,97.4
Hospital,Maternal age,40 and over,2013,13129,13389,98.1
Hospital,Maternal age,Not stated,2013,42,61,0.7
Birth centre,Maternal age,Less than 20,2013,159,10186,1.6
Birth centre,Maternal age,20-24,2013,783,41163,1.9
Birth centre,Maternal age,25-29,2013,1795,83916,2.1
Birth centre,Maternal age,30-34,2013,2165,101618,2.1
Birth centre,Maternal age,35-39,2013,1013,54444,1.9
Birth centre,Maternal age,40 and over,2013,170,13389,1.3
Birth centre,Maternal age,Not stated,2013,0,61,0
Home,Maternal age,Less than 20,2013,5,10186,0
Home,Maternal age,20-24,2013,47,41163,0.1
Home,Maternal age,25-29,2013,248,83916,0.3
Home,Maternal age,30-34,2013,337,101618,0.3
Home,Maternal age,35-39,2013,247,54444,0.5
Home,Maternal age,40 and over,2013,55,13389,0.4
Home,Maternal age,Not stated,2013,19,61,0.3
Other,Maternal age,Less than 20,2013,43,10186,0.4
Other,Maternal age,20-24,2013,175,41163,0.4
Other,Maternal age,25-29,2013,279,83916,0.3
Other,Maternal age,30-34,2013,305,101618,0.3
Other,Maternal age,35-39,2013,152,54444,0.3
Other,Maternal age,40 and over,2013,30,13389,0.2
Other,Maternal age,Not stated,2013,0,61,0
Not stated,Maternal age,Less than 20,2013,4,10186,0
Not stated,Maternal age,20-24,2013,22,41163,0.1
Not stated,Maternal age,25-29,2013,35,83916,0
Not stated,Maternal age,30-34,2013,52,101618,0.1
Not stated,Maternal age,35-39,2013,21,54444,0
Not stated,Maternal age,40 and over,2013,5,13389,0
Not stated,Maternal age,Not stated,2013,0,61,0
Hospital,Parity,None,2013,130295,132797,98.1
Hospital,Parity,One,2013,99297,102623,96.8
Hospital,Parity,Two,2013,41419,42906,96.5
Hospital,Parity,Three,2013,14525,15033,96.6
Hospital,Parity,Four or more,2013,10070,10400,96.8
Hospital,Parity,Not stated,2013,1005,1018,98.7
Birth centre,Parity,None,2013,2108,132797,1.6
Birth centre,Parity,One,2013,2479,102623,2.4
Birth centre,Parity,Two,2013,1043,42906,2.4
Birth centre,Parity,Three,2013,315,15033,2.1
Birth centre,Parity,Four or more,2013,140,10400,1.3
Birth centre,Parity,Not stated,2013,0,1018,0
Home,Parity,None,2013,243,132797,0.2
Home,Parity,One,2013,359,102623,0.3
Home,Parity,Two,2013,220,42906,0.5
Home,Parity,Three,2013,74,15033,0.5
Home,Parity,Four or more,2013,58,10400,0.6
Home,Parity,Not stated,2013,4,1018,0.4
Other,Parity,None,2013,123,132797,0.1
Other,Parity,One,2013,435,102623,0.4
Other,Parity,Two,2013,190,42906,0.4
Other,Parity,Three,2013,109,15033,0.7
Other,Parity,Four or more,2013,120,10400,1.2
Other,Parity,Not stated,2013,7,1018,0.7
Not stated,Parity,None,2013,28,132797,0
Not stated,Parity,One,2013,53,102623,0.1
Not stated,Parity,Two,2013,34,42906,0.1
Not stated,Parity,Three,2013,10,15033,0.1
Not stated,Parity,Four or more,2013,12,10400,0.1
Not stated,Parity,Not stated,2013,2,1018,0.2
Hospital,Remoteness area,Major cities,2013,209803,216208,97
Hospital,Remoteness area,Inner regional,2013,49207,50215,98
Hospital,Remoteness area,Outer regional,2013,25991,26547,97.9
Hospital,Remoteness area,Remote,2013,4483,4540,98.7
Hospital,Remoteness area,Very remote,2013,2965,3041,97.5
Birth centre,Remoteness area,Major cities,2013,5044,216208,2.3
Birth centre,Remoteness area,Inner regional,2013,599,50215,1.2
Birth centre,Remoteness area,Outer regional,2013,354,26547,1.3
Birth centre,Remoteness area,Remote,2013,14,4540,0.3
Birth centre,Remoteness area,Very remote,2013,18,3041,0.6
Home,Remoteness area,Major cities,2013,668,216208,0.3
Home,Remoteness area,Inner regional,2013,196,50215,0.4
Home,Remoteness area,Outer regional,2013,63,26547,0.2
Other,Remoteness area,Major cities,2013,592,216208,0.3
Other,Remoteness area,Inner regional,2013,190,50215,0.4
Other,Remoteness area,Outer regional,2013,126,26547,0.5
Not stated,Remoteness area,Major cities,2013,101,216208,0
Not stated,Remoteness area,Inner regional,2013,24,50215,0
Not stated,Remoteness area,Outer regional,2013,13,26547,0
Not stated,Remoteness area,Remote,2013,1,4540,0
Not stated,Remoteness area,Very remote,2013,0,3041,0
Hospital,Socioeconomic status,Q1 (most disadvantaged),2013,62473,63939,97.7
Hospital,Socioeconomic status,Q2,2013,58267,59888,97.3
Hospital,Socioeconomic status,Q3,2013,58692,60322,97.3
Hospital,Socioeconomic status,Q4,2013,58882,60538,97.3
Hospital,Socioeconomic status,Q5 (least disadvantaged),2013,54091,55820,96.9
Hospital,Socioeconomic status,Not stated,2013,3579,3624,98.8
Birth centre,Socioeconomic status,Q1 (most disadvantaged),2013,1003,63939,1.6
Birth centre,Socioeconomic status,Q2,2013,1269,59888,2.1
Birth centre,Socioeconomic status,Q3,2013,1163,60322,1.9
Birth centre,Socioeconomic status,Q4,2013,1220,60538,2
Birth centre,Socioeconomic status,Q5 (least disadvantaged),2013,1373,55820,2.5
Birth centre,Socioeconomic status,Not stated,2013,41,3624,1.1
Home,Socioeconomic status,Q1 (most disadvantaged),2013,112,63939,0.2
Home,Socioeconomic status,Q2,2013,152,59888,0.3
Home,Socioeconomic status,Q3,2013,231,60322,0.4
Home,Socioeconomic status,Q4,2013,228,60538,0.4
Home,Socioeconomic status,Q5 (least disadvantaged),2013,231,55820,0.4
Home,Socioeconomic status,Not stated,2013,4,3624,0.1
Other,Socioeconomic status,Q1 (most disadvantaged),2013,319,63939,0.5
Other,Socioeconomic status,Q2,2013,171,59888,0.3
Other,Socioeconomic status,Q3,2013,201,60322,0.3
Other,Socioeconomic status,Q4,2013,185,60538,0.3
Other,Socioeconomic status,Q5 (least disadvantaged),2013,105,55820,0.2
Other,Socioeconomic status,Not stated,2013,0,3624,0
Not stated,Socioeconomic status,Q1 (most disadvantaged),2013,32,63939,0.1
Not stated,Socioeconomic status,Q2,2013,29,59888,0
Not stated,Socioeconomic status,Q3,2013,35,60322,0.1
Not stated,Socioeconomic status,Q4,2013,23,60538,0
Not stated,Socioeconomic status,Q5 (least disadvantaged),2013,20,55820,0
Not stated,Socioeconomic status,Not stated,2013,0,3624,0
Hospital,State and territory of birth,NSW,2013,93038,95535,97.4
Hospital,State and territory of birth,Vic,2013,75842,77122,98.3
Hospital,State and territory of birth,Qld,2013,60585,62168,97.5
Hospital,State and territory of birth,WA,2013,33376,33928,98.4
Hospital,State and territory of birth,SA,2013,18431,19925,92.5
Hospital,State and territory of birth,Tas,2013,5867,5936,98.8
Hospital,State and territory of birth,ACT,2013,5673,6145,92.3
Hospital,State and territory of birth,NT,2013,3799,4018,94.5
Birth centre,State and territory of birth,NSW,2013,2392,95535,2.5
Birth centre,State and territory of birth,Vic,2013,502,77122,0.7
Birth centre,State and territory of birth,Qld,2013,1002,62168,1.6
Birth centre,State and territory of birth,WA,2013,347,33928,1
Birth centre,State and territory of birth,SA,2013,1291,19925,6.5
Birth centre,State and territory of birth,Tas,2013,10,5936,0.2
Birth centre,State and territory of birth,ACT,2013,433,6145,7
Birth centre,State and territory of birth,NT,2013,108,4018,2.7
Home,State and territory of birth,NSW,2013,104,95535,0.1
Home,State and territory of birth,Vic,2013,358,77122,0.5
Home,State and territory of birth,Qld,2013,104,62168,0.2
Home,State and territory of birth,SA,2013,114,19925,0.6
Home,State and territory of birth,Tas,2013,24,5936,0.4
Home,State and territory of birth,NT,2013,44,4018,1.1
Other,State and territory of birth,NSW,2013,0,95535,0
Other,State and territory of birth,Vic,2013,282,77122,0.4
Other,State and territory of birth,Qld,2013,477,62168,0.8
Other,State and territory of birth,SA,2013,89,19925,0.4
Other,State and territory of birth,Tas,2013,35,5936,0.6
Other,State and territory of birth,NT,2013,67,4018,1.7
Not stated,State and territory of birth,NSW,2013,1,95535,0
Not stated,State and territory of birth,Vic,2013,138,77122,0.2
Not stated,State and territory of birth,Qld,2013,0,62168,0
Not stated,State and territory of birth,WA,2013,0,33928,0
Not stated,State and territory of birth,SA,2013,0,19925,0
Not stated,State and territory of birth,Tas,2013,0,5936,0
Not stated,State and territory of birth,ACT,2013,0,6145,0
Not stated,State and territory of birth,NT,2013,0,4018,0
Hospital,Country of birth (mother),Born in Australia,2014,200490,205844,97.4
Hospital,Country of birth (mother),Born overseas,2014,98335,100296,98
Hospital,Country of birth (mother),Not stated,2014,1457,1704,85.5
Birth centre,Country of birth (mother),Born in Australia,2014,4023,205844,2
Birth centre,Country of birth (mother),Born overseas,2014,1509,100296,1.5
Birth centre,Country of birth (mother),Not stated,2014,14,1704,0.8
Home,Country of birth (mother),Born in Australia,2014,551,205844,0.3
Home,Country of birth (mother),Born overseas,2014,146,100296,0.1
Home,Country of birth (mother),Not stated,2014,226,1704,13.3
Other,Country of birth (mother),Born in Australia,2014,772,205844,0.4
Other,Country of birth (mother),Born overseas,2014,305,100296,0.3
Other,Country of birth (mother),Not stated,2014,3,1704,0.2
Not stated,Country of birth (mother),Born in Australia,2014,8,205844,0
Not stated,Country of birth (mother),Born overseas,2014,1,100296,0
Not stated,Country of birth (mother),Not stated,2014,4,1704,0.2
Hospital,Indigenous status (mother),Indigenous,2014,12566,12817,98
Hospital,Indigenous status (mother),Non-Indigenous,2014,287235,294521,97.5
Hospital,Indigenous status (mother),Not stated,2014,481,506,95.1
Birth centre,Indigenous status (mother),Indigenous,2014,129,12817,1
Birth centre,Indigenous status (mother),Non-Indigenous,2014,5414,294521,1.8
Birth centre,Indigenous status (mother),Not stated,2014,3,506,0.6
Home,Indigenous status (mother),Non-Indigenous,2014,905,294521,0.3
Other,Indigenous status (mother),Indigenous,2014,117,12817,0.9
Other,Indigenous status (mother),Non-Indigenous,2014,958,294521,0.3
Other,Indigenous status (mother),Not stated,2014,5,506,1
Not stated,Indigenous status (mother),Non-Indigenous,2014,9,294521,0
Hospital,Maternal age,Less than 20,2014,9144,9332,98
Hospital,Maternal age,20-24,2014,38947,39904,97.6
Hospital,Maternal age,25-29,2014,83055,85296,97.4
Hospital,Maternal age,30-34,2014,102676,105300,97.5
Hospital,Maternal age,35-39,2014,53571,54890,97.6
Hospital,Maternal age,40 and over,2014,12882,13102,98.3
Hospital,Maternal age,Not stated,2014,7,20,0.4
Birth centre,Maternal age,Less than 20,2014,145,9332,1.6
Birth centre,Maternal age,20-24,2014,724,39904,1.8
Birth centre,Maternal age,25-29,2014,1692,85296,2
Birth centre,Maternal age,30-34,2014,1937,105300,1.8
Birth centre,Maternal age,35-39,2014,909,54890,1.7
Birth centre,Maternal age,40 and over,2014,139,13102,1.1
Birth centre,Maternal age,Not stated,2014,0,20,0
Home,Maternal age,20-24,2014,62,39904,0.2
Home,Maternal age,25-29,2014,241,85296,0.3
Home,Maternal age,30-34,2014,346,105300,0.3
Home,Maternal age,35-39,2014,218,54890,0.4
Home,Maternal age,40 and over,2014,41,13102,0.3
Other,Maternal age,Less than 20,2014,38,9332,0.4
Other,Maternal age,20-24,2014,169,39904,0.4
Other,Maternal age,25-29,2014,305,85296,0.4
Other,Maternal age,30-34,2014,338,105300,0.3
Other,Maternal age,35-39,2014,190,54890,0.3
Other,Maternal age,40 and over,2014,40,13102,0.3
Other,Maternal age,Not stated,2014,0,20,0
Not stated,Maternal age,20-24,2014,2,39904,0
Not stated,Maternal age,25-29,2014,3,85296,0
Not stated,Maternal age,30-34,2014,3,105300,0
Not stated,Maternal age,35-39,2014,2,54890,0
Not stated,Maternal age,40 and over,2014,0,13102,0
Hospital,Parity,None,2014,131478,133867,98.2
Hospital,Parity,One,2014,101736,104804,97.1
Hospital,Parity,Two,2014,41827,43133,97
Hospital,Parity,Three,2014,14741,15211,96.9
Hospital,Parity,Four or more,2014,10338,10656,97
Hospital,Parity,Not stated,2014,162,173,93.6
Birth centre,Parity,None,2014,2023,133867,1.5
Birth centre,Parity,One,2014,2235,104804,2.1
Birth centre,Parity,Two,2014,853,43133,2
Birth centre,Parity,Three,2014,288,15211,1.9
Birth centre,Parity,Four or more,2014,145,10656,1.4
Birth centre,Parity,Not stated,2014,2,173,1.2
Home,Parity,None,2014,220,133867,0.2
Home,Parity,One,2014,368,104804,0.4
Home,Parity,Two,2014,192,43133,0.4
Home,Parity,Three,2014,83,15211,0.5
Home,Parity,Four or more,2014,54,10656,0.5
Home,Parity,Not stated,2014,6,173,3.5
Other,Parity,None,2014,137,133867,0.1
Other,Parity,One,2014,464,104804,0.4
Other,Parity,Two,2014,261,43133,0.6
Other,Parity,Three,2014,99,15211,0.7
Other,Parity,Four or more,2014,119,10656,1.1
Other,Parity,Not stated,2014,0,173,0
Not stated,Parity,None,2014,9,133867,0
Not stated,Parity,One,2014,1,104804,0
Not stated,Parity,Two,2014,0,43133,0
Not stated,Parity,Three,2014,0,15211,0
Not stated,Parity,Four or more,2014,0,10656,0
Not stated,Parity,Not stated,2014,3,173,1.7
Hospital,Remoteness area,Major cities,2014,215704,221618,97.3
Hospital,Remoteness area,Inner regional,2014,49148,50093,98.1
Hospital,Remoteness area,Outer regional,2014,25818,26389,97.8
Hospital,Remoteness area,Remote,2014,4652,4705,98.9
Hospital,Remoteness area,Very remote,2014,3040,3092,98.3
Birth centre,Remoteness area,Major cities,2014,4569,221618,2.1
Birth centre,Remoteness area,Inner regional,2014,574,50093,1.1
Birth centre,Remoteness area,Outer regional,2014,366,26389,1.4
Home,Remoteness area,Major cities,2014,667,221618,0.3
Home,Remoteness area,Inner regional,2014,167,50093,0.3
Home,Remoteness area,Outer regional,2014,64,26389,0.2
Other,Remoteness area,Major cities,2014,672,221618,0.3
Other,Remoteness area,Inner regional,2014,201,50093,0.4
Other,Remoteness area,Outer regional,2014,140,26389,0.5
Other,Remoteness area,Remote,2014,17,4705,0.4
Other,Remoteness area,Very remote,2014,47,3092,1.5
Not stated,Remoteness area,Major cities,2014,6,221618,0
Not stated,Remoteness area,Inner regional,2014,3,50093,0
Not stated,Remoteness area,Outer regional,2014,1,26389,0
Not stated,Remoteness area,Remote,2014,0,4705,0
Not stated,Remoteness area,Very remote,2014,0,3092,0
Hospital,Socioeconomic status,Q1 (most disadvantaged),2014,62528,63872,97.9
Hospital,Socioeconomic status,Q2,2014,59296,60773,97.6
Hospital,Socioeconomic status,Q3,2014,60259,61759,97.6
Hospital,Socioeconomic status,Q4,2014,60718,62261,97.5
Hospital,Socioeconomic status,Q5 (least disadvantaged),2014,55384,57050,97.1
Hospital,Socioeconomic status,Not stated,2014,1390,1407,98.8
Birth centre,Socioeconomic status,Q1 (most disadvantaged),2014,932,63872,1.5
Birth centre,Socioeconomic status,Q2,2014,1110,60773,1.8
Birth centre,Socioeconomic status,Q3,2014,1070,61759,1.7
Birth centre,Socioeconomic status,Q4,2014,1091,62261,1.8
Birth centre,Socioeconomic status,Q5 (least disadvantaged),2014,1323,57050,2.3
Birth centre,Socioeconomic status,Not stated,2014,9,1407,0.6
Home,Socioeconomic status,Q1 (most disadvantaged),2014,102,63872,0.2
Home,Socioeconomic status,Q2,2014,161,60773,0.3
Home,Socioeconomic status,Q3,2014,208,61759,0.3
Home,Socioeconomic status,Q4,2014,243,62261,0.4
Home,Socioeconomic status,Q5 (least disadvantaged),2014,202,57050,0.4
Home,Socioeconomic status,Not stated,2014,7,1407,0.5
Other,Socioeconomic status,Q1 (most disadvantaged),2014,307,63872,0.5
Other,Socioeconomic status,Q2,2014,204,60773,0.3
Other,Socioeconomic status,Q3,2014,218,61759,0.4
Other,Socioeconomic status,Q4,2014,208,62261,0.3
Other,Socioeconomic status,Q5 (least disadvantaged),2014,141,57050,0.2
Other,Socioeconomic status,Not stated,2014,1,1407,0.1
Not stated,Socioeconomic status,Q1 (most disadvantaged),2014,3,63872,0
Not stated,Socioeconomic status,Q2,2014,2,60773,0
Not stated,Socioeconomic status,Q3,2014,4,61759,0
Not stated,Socioeconomic status,Q4,2014,1,62261,0
Not stated,Socioeconomic status,Q5 (least disadvantaged),2014,0,57050,0
Not stated,Socioeconomic status,Not stated,2014,0,1407,0
Hospital,State and territory of birth,NSW,2014,93608,95923,97.6
Hospital,State and territory of birth,Vic,2014,77133,77921,99
Hospital,State and territory of birth,Qld,2014,61181,62799,97.4
Hospital,State and territory of birth,WA,2014,34110,34686,98.3
Hospital,State and territory of birth,SA,2014,19024,20448,93
Hospital,State and territory of birth,Tas,2014,5733,5818,98.5
Hospital,State and territory of birth,ACT,2014,5769,6325,91.2
Hospital,State and territory of birth,NT,2014,3724,3924,94.9
Birth centre,State and territory of birth,NSW,2014,2202,95923,2.3
Birth centre,State and territory of birth,Vic,2014,43,77921,0.1
Birth centre,State and territory of birth,Qld,2014,1054,62799,1.7
Birth centre,State and territory of birth,WA,2014,378,34686,1.1
Birth centre,State and territory of birth,SA,2014,1232,20448,6
Birth centre,State and territory of birth,Tas,2014,8,5818,0.1
Birth centre,State and territory of birth,ACT,2014,507,6325,8
Birth centre,State and territory of birth,NT,2014,122,3924,3.1
Home,State and territory of birth,NSW,2014,110,95923,0.1
Home,State and territory of birth,Vic,2014,348,77921,0.4
Home,State and territory of birth,Qld,2014,98,62799,0.2
Home,State and territory of birth,WA,2014,198,34686,0.6
Home,State and territory of birth,SA,2014,96,20448,0.5
Home,State and territory of birth,Tas,2014,39,5818,0.7
Home,State and territory of birth,ACT,2014,7,6325,0.1
Home,State and territory of birth,NT,2014,27,3924,0.7
Other,State and territory of birth,Qld,2014,466,62799,0.7
Other,State and territory of birth,WA,2014,0,34686,0
