babies_term,topic,topic_disaggregation,year,count,year_total,percent_total
Post-term,State and territory of birth,Qld,2010,356,62025,0.6
Post-term,State and territory of birth,WA,2010,174,31265,0.6
Post-term,State and territory of birth,SA,2010,54,20001,0.3
Post-term,State and territory of birth,Tas,2010,31,6137,0.5
Post-term,State and territory of birth,ACT,2010,93,5946,1.6
Post-term,State and territory of birth,NT,2010,29,3883,0.7
Not stated,State and territory of birth,NSW,2010,4,96486,0
Not stated,State and territory of birth,Vic,2010,54,74472,0.1
Not stated,State and territory of birth,Qld,2010,6,62025,0
Not stated,State and territory of birth,WA,2010,0,31265,0
Not stated,State and territory of birth,SA,2010,0,20001,0
Not stated,State and territory of birth,Tas,2010,0,6137,0
Not stated,State and territory of birth,ACT,2010,0,5946,0
Not stated,State and territory of birth,NT,2010,0,3883,0
Pre-term,Admission to SCN/NICU,Admitted,2011,10738,27599,38.9
Pre-term,Admission to SCN/NICU,Not admitted,2011,2746,137986,2
Pre-term,Admission to SCN/NICU,Not stated,2011,42,1710,2.5
Term,Admission to SCN/NICU,Admitted,2011,16641,27599,60.3
Term,Admission to SCN/NICU,Not admitted,2011,134155,137986,97.2
Term,Admission to SCN/NICU,Not stated,2011,1652,1710,96.6
Post-term,Admission to SCN/NICU,Admitted,2011,216,27599,0.8
Post-term,Admission to SCN/NICU,Not admitted,2011,1043,137986,0.8
Post-term,Admission to SCN/NICU,Not stated,2011,5,1710,0.3
Not stated,Admission to SCN/NICU,Admitted,2011,4,27599,0
Not stated,Admission to SCN/NICU,Not admitted,2011,42,137986,0
Not stated,Admission to SCN/NICU,Not stated,2011,11,1710,0.6
Pre-term,Birth status,Live birth,2011,23309,299793,7.8
Pre-term,Birth status,Stillbirth,2011,1839,2230,82.5
Pre-term,Birth status,Not stated,2011,0,2,0
Term,Birth status,Live birth,2011,274333,299793,91.5
Term,Birth status,Stillbirth,2011,384,2230,17.2
Term,Birth status,Not stated,2011,2,2,100
Post-term,Birth status,Not stated,2011,0,2,0
Not stated,Birth status,Not stated,2011,0,2,0
Pre-term,Birthweight,Low birthweight,2011,14994,20604,72.8
Pre-term,Birthweight,Normal birthweight,2011,10051,276094,3.6
Pre-term,Birthweight,High birthweight,2011,25,5062,0.5
Pre-term,Birthweight,Not stated,2011,78,265,29.4
Term,Birthweight,Low birthweight,2011,5601,20604,27.2
Term,Birthweight,Normal birthweight,2011,264059,276094,95.6
Term,Birthweight,High birthweight,2011,4886,5062,96.5
Term,Birthweight,Not stated,2011,173,265,65.3
Post-term,Birthweight,Normal birthweight,2011,1934,276094,0.7
Post-term,Birthweight,High birthweight,2011,149,5062,2.9
Not stated,Birthweight,Normal birthweight,2011,50,276094,0
Not stated,Birthweight,High birthweight,2011,2,5062,0
Pre-term,Country of birth (mother),Born in Australia,2011,18579,212860,8.7
Pre-term,Country of birth (mother),Born overseas,2011,6433,87697,7.3
Pre-term,Country of birth (mother),Not stated,2011,136,1468,9.3
Term,Country of birth (mother),Born in Australia,2011,192715,212860,90.5
Term,Country of birth (mother),Born overseas,2011,80700,87697,92
Term,Country of birth (mother),Not stated,2011,1304,1468,88.8
Post-term,Country of birth (mother),Born in Australia,2011,1519,212860,0.7
Post-term,Country of birth (mother),Born overseas,2011,552,87697,0.6
Post-term,Country of birth (mother),Not stated,2011,17,1468,1.2
Not stated,Country of birth (mother),Born in Australia,2011,47,212860,0
Not stated,Country of birth (mother),Born overseas,2011,12,87697,0
Not stated,Country of birth (mother),Not stated,2011,11,1468,0.7
Pre-term,Hospital sector,Public,2011,18674,207663,9
Pre-term,Hospital sector,Private,2011,6217,85184,7.3
Pre-term,Hospital sector,Not stated,2011,0,2,0
Term,Hospital sector,Public,2011,187296,207663,90.2
Term,Hospital sector,Private,2011,78592,85184,92.3
Term,Hospital sector,Not stated,2011,2,2,100
Post-term,Hospital sector,Public,2011,1667,207663,0.8
Post-term,Hospital sector,Private,2011,336,85184,0.4
Post-term,Hospital sector,Not stated,2011,0,2,0
Not stated,Hospital sector,Public,2011,26,207663,0
Not stated,Hospital sector,Private,2011,39,85184,0
Not stated,Hospital sector,Not stated,2011,0,2,0
Pre-term,Indigenous status (mother),Indigenous,2011,1648,11897,13.9
Pre-term,Indigenous status (mother),Non-Indigenous,2011,23393,289402,8.1
Pre-term,Indigenous status (mother),Not stated,2011,107,726,14.7
Term,Indigenous status (mother),Indigenous,2011,10187,11897,85.6
Term,Indigenous status (mother),Non-Indigenous,2011,263931,289402,91.2
Term,Indigenous status (mother),Not stated,2011,601,726,82.8
Post-term,Indigenous status (mother),Indigenous,2011,59,11897,0.5
Post-term,Indigenous status (mother),Non-Indigenous,2011,2022,289402,0.7
Post-term,Indigenous status (mother),Not stated,2011,7,726,1
Not stated,Indigenous status (mother),Indigenous,2011,3,11897,0
Not stated,Indigenous status (mother),Non-Indigenous,2011,56,289402,0
Not stated,Indigenous status (mother),Not stated,2011,11,726,1.5
Pre-term,Maternal age,Less than 20,2011,1215,11106,10.9
Pre-term,Maternal age,20-24,2011,3538,41536,8.5
Pre-term,Maternal age,25-29,2011,6448,84276,7.7
Pre-term,Maternal age,30-34,2011,7578,96192,7.9
Pre-term,Maternal age,35-39,2011,4877,55680,8.8
Pre-term,Maternal age,40 and over,2011,1480,13118,11.3
Pre-term,Maternal age,Not stated,2011,12,117,10.3
Term,Maternal age,Less than 20,2011,9821,11106,88.4
Term,Maternal age,20-24,2011,37695,41536,90.8
Term,Maternal age,25-29,2011,77185,84276,91.6
Term,Maternal age,30-34,2011,87928,96192,91.4
Term,Maternal age,35-39,2011,50451,55680,90.6
Term,Maternal age,40 and over,2011,11548,13118,88
Term,Maternal age,Not stated,2011,91,117,77.8
Post-term,Maternal age,Less than 20,2011,68,11106,0.6
Post-term,Maternal age,20-24,2011,301,41536,0.7
Post-term,Maternal age,25-29,2011,630,84276,0.7
Post-term,Maternal age,30-34,2011,662,96192,0.7
Post-term,Maternal age,35-39,2011,340,55680,0.6
Post-term,Maternal age,40 and over,2011,83,13118,0.6
Post-term,Maternal age,Not stated,2011,4,117,3.4
Not stated,Maternal age,Less than 20,2011,2,11106,0
Not stated,Maternal age,20-24,2011,2,41536,0
Not stated,Maternal age,25-29,2011,13,84276,0
Not stated,Maternal age,30-34,2011,24,96192,0
Not stated,Maternal age,35-39,2011,12,55680,0
Not stated,Maternal age,40 and over,2011,7,13118,0.1
Not stated,Maternal age,Not stated,2011,10,117,8.5
Pre-term,Method of birth,Vaginal (non-instrumental),2011,11311,166429,6.8
Pre-term,Method of birth,Vaginal (forceps),2011,931,12488,7.5
Pre-term,Method of birth,Vaginal (vacuum),2011,825,23798,3.5
Pre-term,Method of birth,Caesarean section,2011,12066,99246,12.2
Pre-term,Method of birth,Not stated,2011,15,64,23.4
Term,Method of birth,Vaginal (non-instrumental),2011,154014,166429,92.5
Term,Method of birth,Vaginal (forceps),2011,11390,12488,91.2
Term,Method of birth,Vaginal (vacuum),2011,22801,23798,95.8
Term,Method of birth,Caesarean section,2011,86475,99246,87.1
Term,Method of birth,Not stated,2011,39,64,60.9
Post-term,Method of birth,Vaginal (non-instrumental),2011,1073,166429,0.6
Post-term,Method of birth,Vaginal (forceps),2011,160,12488,1.3
Post-term,Method of birth,Vaginal (vacuum),2011,169,23798,0.7
Post-term,Method of birth,Caesarean section,2011,686,99246,0.7
Post-term,Method of birth,Not stated,2011,0,64,0
Not stated,Method of birth,Vaginal (non-instrumental),2011,31,166429,0
Not stated,Method of birth,Vaginal (forceps),2011,7,12488,0.1
Not stated,Method of birth,Vaginal (vacuum),2011,3,23798,0
Not stated,Method of birth,Caesarean section,2011,19,99246,0
Not stated,Method of birth,Not stated,2011,10,64,15.6
Pre-term,Onset of labour,Spontaneous,2011,12405,164417,7.5
Pre-term,Onset of labour,Induced,2011,4884,78314,6.2
Pre-term,Onset of labour,No labour,2011,7849,59212,13.3
Pre-term,Onset of labour,Not stated,2011,10,82,12.2
Term,Onset of labour,Spontaneous,2011,151252,164417,92
Term,Onset of labour,Induced,2011,72197,78314,92.2
Term,Onset of labour,No labour,2011,51208,59212,86.5
Term,Onset of labour,Not stated,2011,62,82,75.6
Post-term,Onset of labour,Spontaneous,2011,726,164417,0.4
Post-term,Onset of labour,Induced,2011,1221,78314,1.6
Post-term,Onset of labour,No labour,2011,141,59212,0.2
Post-term,Onset of labour,Not stated,2011,0,82,0
Not stated,Onset of labour,Spontaneous,2011,34,164417,0
Not stated,Onset of labour,Induced,2011,12,78314,0
Not stated,Onset of labour,No labour,2011,14,59212,0
Not stated,Onset of labour,Not stated,2011,10,82,12.2
Pre-term,Plurality,Singleton,2011,19725,292736,6.7
Pre-term,Plurality,Twins,2011,5195,9060,57.3
Pre-term,Plurality,Other multiples,2011,228,228,100
Pre-term,Plurality,Not stated,2011,0,1,0
Term,Plurality,Singleton,2011,270854,292736,92.5
Term,Plurality,Twins,2011,3864,9060,42.6
Term,Plurality,Other multiples,2011,0,228,0
Term,Plurality,Not stated,2011,1,1,100
Post-term,Plurality,Singleton,2011,2088,292736,0.7
Post-term,Plurality,Twins,2011,0,9060,0
Post-term,Plurality,Other multiples,2011,0,228,0
Post-term,Plurality,Not stated,2011,0,1,0
Not stated,Plurality,Singleton,2011,69,292736,0
Not stated,Plurality,Twins,2011,1,9060,0
Not stated,Plurality,Other multiples,2011,0,228,0
Not stated,Plurality,Not stated,2011,0,1,0
Pre-term,Sex,Male,2011,13386,155205,8.6
Pre-term,Sex,Female,2011,11679,146661,8
Pre-term,Sex,Indeterminate/Not stated,2011,83,159,52.2
Term,Sex,Male,2011,140661,155205,90.6
Term,Sex,Female,2011,133985,146661,91.4
Term,Sex,Indeterminate/Not stated,2011,73,159,45.9
Post-term,Sex,Male,2011,1122,155205,0.7
Post-term,Sex,Female,2011,966,146661,0.7
Post-term,Sex,Indeterminate/Not stated,2011,0,159,0
Not stated,Sex,Male,2011,36,155205,0
Not stated,Sex,Female,2011,31,146661,0
Not stated,Sex,Indeterminate/Not stated,2011,3,159,1.9
Pre-term,Smoking status (any time during pregnancy),Smoked,2011,4568,39300,11.6
Pre-term,Smoking status (any time during pregnancy),Did not smoke,2011,19920,257978,7.7
Pre-term,Smoking status (any time during pregnancy),Not stated,2011,660,4747,13.9
Term,Smoking status (any time during pregnancy),Smoked,2011,34511,39300,87.8
Term,Smoking status (any time during pregnancy),Did not smoke,2011,236155,257978,91.5
Term,Smoking status (any time during pregnancy),Not stated,2011,4053,4747,85.4
Post-term,Smoking status (any time during pregnancy),Smoked,2011,212,39300,0.5
Post-term,Smoking status (any time during pregnancy),Did not smoke,2011,1858,257978,0.7
Post-term,Smoking status (any time during pregnancy),Not stated,2011,18,4747,0.4
Not stated,Smoking status (any time during pregnancy),Smoked,2011,9,39300,0
Not stated,Smoking status (any time during pregnancy),Did not smoke,2011,45,257978,0
Not stated,Smoking status (any time during pregnancy),Not stated,2011,16,4747,0.3
Pre-term,State and territory of birth,NSW,2011,7270,97238,7.5
Pre-term,State and territory of birth,Vic,2011,6191,74116,8.4
Pre-term,State and territory of birth,Qld,2011,5445,62171,8.8
Pre-term,State and territory of birth,WA,2011,2757,32204,8.6
Pre-term,State and territory of birth,SA,2011,1876,20344,9.2
Pre-term,State and territory of birth,Tas,2011,638,6323,10.1
Pre-term,State and territory of birth,ACT,2011,537,5702,9.4
Pre-term,State and territory of birth,NT,2011,434,3927,11.1
Term,State and territory of birth,NSW,2011,89298,97238,91.8
Term,State and territory of birth,Vic,2011,67116,74116,90.6
Term,State and territory of birth,Qld,2011,56371,62171,90.7
Term,State and territory of birth,WA,2011,29314,32204,91
Term,State and territory of birth,SA,2011,18414,20344,90.5
Term,State and territory of birth,Tas,2011,5646,6323,89.3
Term,State and territory of birth,ACT,2011,5097,5702,89.4
Term,State and territory of birth,NT,2011,3463,3927,88.2
Post-term,State and territory of birth,NSW,2011,660,97238,0.7
Post-term,State and territory of birth,Vic,2011,756,74116,1
Post-term,State and territory of birth,Qld,2011,349,62171,0.6
Post-term,State and territory of birth,WA,2011,133,32204,0.4
Post-term,State and territory of birth,SA,2011,54,20344,0.3
Post-term,State and territory of birth,Tas,2011,39,6323,0.6
Post-term,State and territory of birth,ACT,2011,67,5702,1.2
Post-term,State and territory of birth,NT,2011,30,3927,0.8
Not stated,State and territory of birth,NSW,2011,10,97238,0
Not stated,State and territory of birth,Vic,2011,53,74116,0.1
Not stated,State and territory of birth,Qld,2011,6,62171,0
Not stated,State and territory of birth,WA,2011,0,32204,0
Not stated,State and territory of birth,SA,2011,0,20344,0
Not stated,State and territory of birth,Tas,2011,0,6323,0
Not stated,State and territory of birth,ACT,2011,1,5702,0
Not stated,State and territory of birth,NT,2011,0,3927,0
Pre-term,Admission to SCN/NICU,Admitted,2012,11275,28911,39
Pre-term,Admission to SCN/NICU,Not admitted,2012,3116,142045,2.2
Pre-term,Admission to SCN/NICU,Not stated,2012,27,2503,1.1
Term,Admission to SCN/NICU,Admitted,2012,17461,28911,60.4
Term,Admission to SCN/NICU,Not admitted,2012,137909,142045,97.1
Term,Admission to SCN/NICU,Not stated,2012,2468,2503,98.6
Post-term,Admission to SCN/NICU,Admitted,2012,164,28911,0.6
Post-term,Admission to SCN/NICU,Not admitted,2012,992,142045,0.7
Post-term,Admission to SCN/NICU,Not stated,2012,7,2503,0.3
Not stated,Admission to SCN/NICU,Admitted,2012,11,28911,0
Not stated,Admission to SCN/NICU,Not admitted,2012,28,142045,0
Not stated,Admission to SCN/NICU,Not stated,2012,1,2503,0
Pre-term,Birth status,Live birth,2012,24667,309959,8
Pre-term,Birth status,Stillbirth,2012,1855,2255,82.3
Pre-term,Birth status,Not stated,2012,8,37,21.6
Term,Birth status,Live birth,2012,283337,309959,91.4
Term,Birth status,Stillbirth,2012,384,2255,17
Term,Birth status,Not stated,2012,26,37,70.3
Post-term,Birth status,Live birth,2012,1886,309959,0.6
Post-term,Birth status,Stillbirth,2012,5,2255,0.2
Post-term,Birth status,Not stated,2012,1,37,2.7
Not stated,Birth status,Live birth,2012,69,309959,0
Not stated,Birth status,Stillbirth,2012,11,2255,0.5
Not stated,Birth status,Not stated,2012,2,37,5.4
Pre-term,Birthweight,Low birthweight,2012,15421,21034,73.3
Pre-term,Birthweight,Normal birthweight,2012,10999,285753,3.8
Pre-term,Birthweight,High birthweight,2012,24,5263,0.5
Pre-term,Birthweight,Not stated,2012,86,201,42.8
Term,Birthweight,Low birthweight,2012,5581,21034,26.5
Term,Birthweight,Normal birthweight,2012,272967,285753,95.5
Term,Birthweight,High birthweight,2012,5094,5263,96.8
Term,Birthweight,Not stated,2012,105,201,52.2
Post-term,Birthweight,Low birthweight,2012,11,21034,0.1
Post-term,Birthweight,Normal birthweight,2012,1736,285753,0.6
Post-term,Birthweight,High birthweight,2012,144,5263,2.7
Post-term,Birthweight,Not stated,2012,1,201,0.5
Not stated,Birthweight,Low birthweight,2012,21,21034,0.1
Not stated,Birthweight,Normal birthweight,2012,51,285753,0
Not stated,Birthweight,High birthweight,2012,1,5263,0
Not stated,Birthweight,Not stated,2012,9,201,4.5
Pre-term,Body mass index,Underweight,2012,732,7173,10.2
Pre-term,Body mass index,Normal weight,2012,7519,92939,8.1
Pre-term,Body mass index,Overweight,2012,4068,50132,8.1
Pre-term,Body mass index,Obese,2012,3680,39308,9.4
Pre-term,Body mass index,Not stated,2012,2603,19162,13.6
Term,Body mass index,Underweight,2012,6406,7173,89.3
Term,Body mass index,Normal weight,2012,84796,92939,91.2
Term,Body mass index,Overweight,2012,45725,50132,91.2
Term,Body mass index,Obese,2012,35391,39308,90
Term,Body mass index,Not stated,2012,16443,19162,85.8
Post-term,Body mass index,Underweight,2012,33,7173,0.5
Post-term,Body mass index,Normal weight,2012,606,92939,0.7
Post-term,Body mass index,Overweight,2012,324,50132,0.6
Post-term,Body mass index,Obese,2012,236,39308,0.6
Post-term,Body mass index,Not stated,2012,100,19162,0.5
Not stated,Body mass index,Underweight,2012,2,7173,0
Not stated,Body mass index,Normal weight,2012,18,92939,0
Not stated,Body mass index,Overweight,2012,15,50132,0
Not stated,Body mass index,Obese,2012,1,39308,0
Not stated,Body mass index,Not stated,2012,16,19162,0.1
Pre-term,Country of birth (mother),Born in Australia,2012,19200,215009,8.9
Pre-term,Country of birth (mother),Born overseas,2012,7185,95541,7.5
Pre-term,Country of birth (mother),Not stated,2012,145,1701,8.5
Term,Country of birth (mother),Born in Australia,2012,194433,215009,90.4
Term,Country of birth (mother),Born overseas,2012,87786,95541,91.9
Term,Country of birth (mother),Not stated,2012,1528,1701,89.8
Post-term,Country of birth (mother),Born in Australia,2012,1310,215009,0.6
Post-term,Country of birth (mother),Born overseas,2012,554,95541,0.6
Post-term,Country of birth (mother),Not stated,2012,28,1701,1.6
Not stated,Country of birth (mother),Born in Australia,2012,66,215009,0
Not stated,Country of birth (mother),Born overseas,2012,16,95541,0
Not stated,Country of birth (mother),Not stated,2012,0,1701,0
Pre-term,Hospital sector,Public,2012,19707,214861,9.2
Pre-term,Hospital sector,Private,2012,6563,87890,7.5
Pre-term,Hospital sector,Not stated,2012,0,0,0
Term,Hospital sector,Public,2012,193592,214861,90.1
Term,Hospital sector,Private,2012,81008,87890,92.2
Term,Hospital sector,Not stated,2012,0,0,0
Post-term,Hospital sector,Public,2012,1530,214861,0.7
Post-term,Hospital sector,Private,2012,271,87890,0.3
Post-term,Hospital sector,Not stated,2012,0,0,0
Not stated,Hospital sector,Public,2012,32,214861,0
Not stated,Hospital sector,Private,2012,48,87890,0.1
Not stated,Hospital sector,Not stated,2012,0,0,0
Pre-term,Indigenous status (mother),Indigenous,2012,1776,12454,14.3
Pre-term,Indigenous status (mother),Non-Indigenous,2012,24677,299121,8.2
Pre-term,Indigenous status (mother),Not stated,2012,77,676,11.4
Term,Indigenous status (mother),Indigenous,2012,10621,12454,85.3
Term,Indigenous status (mother),Non-Indigenous,2012,272539,299121,91.1
Term,Indigenous status (mother),Not stated,2012,587,676,86.8
Post-term,Indigenous status (mother),Indigenous,2012,56,12454,0.4
Post-term,Indigenous status (mother),Non-Indigenous,2012,1824,299121,0.6
Post-term,Indigenous status (mother),Not stated,2012,12,676,1.8
Not stated,Indigenous status (mother),Indigenous,2012,1,12454,0
Not stated,Indigenous status (mother),Non-Indigenous,2012,81,299121,0
Not stated,Indigenous status (mother),Not stated,2012,0,676,0
Pre-term,Indigenous status (baby),Indigenous,2012,2088,15602,13.4
Pre-term,Indigenous status (baby),Non-Indigenous,2012,23914,294267,8.1
Pre-term,Indigenous status (baby),Not stated,2012,528,2382,22.2
Term,Indigenous status (baby),Indigenous,2012,13443,15602,86.2
Term,Indigenous status (baby),Non-Indigenous,2012,268465,294267,91.2
Term,Indigenous status (baby),Not stated,2012,1839,2382,77.2
Post-term,Indigenous status (baby),Indigenous,2012,70,15602,0.4
Post-term,Indigenous status (baby),Non-Indigenous,2012,1809,294267,0.6
Post-term,Indigenous status (baby),Not stated,2012,13,2382,0.5
Not stated,Indigenous status (baby),Indigenous,2012,1,15602,0
Not stated,Indigenous status (baby),Non-Indigenous,2012,79,294267,0
Not stated,Indigenous status (baby),Not stated,2012,2,2382,0.1
Pre-term,Maternal age,Less than 20,2012,1135,11135,10.2
Pre-term,Maternal age,20-24,2012,3647,42264,8.6
Pre-term,Maternal age,25-29,2012,6934,86705,8
Pre-term,Maternal age,30-34,2012,8045,101618,7.9
Pre-term,Maternal age,35-39,2012,5197,56807,9.1
Pre-term,Maternal age,40 and over,2012,1570,13655,11.5
Pre-term,Maternal age,Not stated,2012,2,67,3.0
Term,Maternal age,Less than 20,2012,9939,11135,89.3
Term,Maternal age,20-24,2012,38391,42264,90.8
Term,Maternal age,25-29,2012,79223,86705,91.4
Term,Maternal age,30-34,2012,92876,101618,91.4
Term,Maternal age,35-39,2012,51249,56807,90.2
Term,Maternal age,40 and over,2012,12004,13655,87.9
Term,Maternal age,Not stated,2012,65,67,97.0
Post-term,Maternal age,Less than 20,2012,56,11135,0.5
Post-term,Maternal age,20-24,2012,219,42264,0.5
Post-term,Maternal age,25-29,2012,530,86705,0.6
Post-term,Maternal age,30-34,2012,671,101618,0.7
Post-term,Maternal age,35-39,2012,338,56807,0.6
Post-term,Maternal age,40 and over,2012,78,13655,0.6
Post-term,Maternal age,Not stated,2012,0,67,0
Not stated,Maternal age,Less than 20,2012,5,11135,0
Not stated,Maternal age,20-24,2012,7,42264,0
Not stated,Maternal age,25-29,2012,18,86705,0
Not stated,Maternal age,30-34,2012,26,101618,0
Not stated,Maternal age,35-39,2012,23,56807,0
Not stated,Maternal age,40 and over,2012,3,13655,0
Not stated,Maternal age,Not stated,2012,0,67,0
Pre-term,Method of birth,Vaginal (non-instrumental),2012,11879,171021,6.9
Pre-term,Method of birth,Vaginal (forceps),2012,966,13466,7.2
Pre-term,Method of birth,Vaginal (vacuum),2012,881,24959,3.5
Pre-term,Method of birth,Caesarean section,2012,12799,102782,12.5
Pre-term,Method of birth,Not stated,2012,5,23,21.7
Term,Method of birth,Vaginal (non-instrumental),2012,158169,171021,92.5
Term,Method of birth,Vaginal (forceps),2012,12383,13466,92
Term,Method of birth,Vaginal (vacuum),2012,23887,24959,95.7
Term,Method of birth,Caesarean section,2012,89292,102782,86.9
Term,Method of birth,Not stated,2012,16,23,69.6
Post-term,Method of birth,Vaginal (non-instrumental),2012,937,171021,0.5
Post-term,Method of birth,Vaginal (forceps),2012,113,13466,0.8
Post-term,Method of birth,Vaginal (vacuum),2012,186,24959,0.7
Post-term,Method of birth,Caesarean section,2012,656,102782,0.6
Post-term,Method of birth,Not stated,2012,0,23,0
Not stated,Method of birth,Vaginal (non-instrumental),2012,36,171021,0
Not stated,Method of birth,Vaginal (forceps),2012,4,13466,0
Not stated,Method of birth,Vaginal (vacuum),2012,5,24959,0
Not stated,Method of birth,Caesarean section,2012,35,102782,0
Not stated,Method of birth,Not stated,2012,2,23,8.7
Pre-term,Onset of labour,Spontaneous,2012,12537,168050,7.5
Pre-term,Onset of labour,Induced,2012,5451,81982,6.6
Pre-term,Onset of labour,No labour,2012,8536,62131,13.7
Pre-term,Onset of labour,Not stated,2012,6,88,6.8
Term,Onset of labour,Spontaneous,2012,154800,168050,92.1
Term,Onset of labour,Induced,2012,75412,81982,92
Term,Onset of labour,No labour,2012,53453,62131,86
Term,Onset of labour,Not stated,2012,82,88,93.2
Post-term,Onset of labour,Spontaneous,2012,682,168050,0.4
Post-term,Onset of labour,Induced,2012,1093,81982,1.3
Post-term,Onset of labour,No labour,2012,117,62131,0.2
Post-term,Onset of labour,Not stated,2012,0,88,0
Not stated,Onset of labour,Spontaneous,2012,31,168050,0
Not stated,Onset of labour,Induced,2012,26,81982,0
Not stated,Onset of labour,No labour,2012,25,62131,0
Not stated,Onset of labour,Not stated,2012,0,88,0
Pre-term,Plurality,Singleton,2012,20830,302955,6.9
Pre-term,Plurality,Twins,2012,5519,9104,60.6
Pre-term,Plurality,Other multiples,2012,181,191,94.8
Pre-term,Plurality,Not stated,2012,0,1,0
Term,Plurality,Singleton,2012,280195,302955,92.5
Term,Plurality,Twins,2012,3543,9104,38.9
Term,Plurality,Other multiples,2012,8,191,4.2
Term,Plurality,Not stated,2012,1,1,100
Post-term,Plurality,Other multiples,2012,0,191,0
Post-term,Plurality,Not stated,2012,0,1,0
Not stated,Plurality,Other multiples,2012,2,191,1
Not stated,Plurality,Not stated,2012,0,1,0
Pre-term,Remoteness area,Major cities,2012,17765,216810,8.2
Pre-term,Remoteness area,Inner regional,2012,4539,51188,8.9
Pre-term,Remoteness area,Outer regional,2012,2538,27176,9.3
Pre-term,Remoteness area,Remote,2012,473,4861,9.7
Pre-term,Remoteness area,Very remote,2012,363,3169,11.5
Term,Remoteness area,Major cities,2012,197772,216810,91.2
Term,Remoteness area,Inner regional,2012,46247,51188,90.3
Term,Remoteness area,Outer regional,2012,24439,27176,89.9
Term,Remoteness area,Remote,2012,4369,4861,89.9
Term,Remoteness area,Very remote,2012,2792,3169,88.1
Post-term,Remoteness area,Major cities,2012,1214,216810,0.6
Post-term,Remoteness area,Inner regional,2012,390,51188,0.8
Post-term,Remoteness area,Outer regional,2012,195,27176,0.7
Post-term,Remoteness area,Remote,2012,18,4861,0.4
Post-term,Remoteness area,Very remote,2012,13,3169,0.4
Not stated,Remoteness area,Major cities,2012,60,216810,0
Not stated,Remoteness area,Inner regional,2012,11,51188,0
Not stated,Remoteness area,Outer regional,2012,3,27176,0
Not stated,Remoteness area,Remote,2012,1,4861,0
Not stated,Remoteness area,Very remote,2012,0,3169,0
Pre-term,Sex,Male,2012,14454,160864,9
Pre-term,Sex,Female,2012,11982,151241,7.9
Pre-term,Sex,Indeterminate/Not stated,2012,94,146,64.4
Term,Sex,Male,2012,145393,160864,90.4
Term,Sex,Female,2012,138313,151241,91.5
Term,Sex,Indeterminate/Not stated,2012,41,146,28.1
Post-term,Sex,Male,2012,984,160864,0.6
Post-term,Sex,Female,2012,907,151241,0.6
Post-term,Sex,Indeterminate/Not stated,2012,1,146,0.7
Not stated,Sex,Male,2012,33,160864,0
Not stated,Sex,Female,2012,39,151241,0
Not stated,Sex,Indeterminate/Not stated,2012,10,146,6.8
Pre-term,Smoking status (any time during pregnancy),Smoked,2012,4629,38220,12.1
Pre-term,Smoking status (any time during pregnancy),Did not smoke,2012,21119,268339,7.9
Pre-term,Smoking status (any time during pregnancy),Not stated,2012,782,5692,13.7
Term,Smoking status (any time during pregnancy),Smoked,2012,33414,38220,87.4
Term,Smoking status (any time during pregnancy),Did not smoke,2012,245455,268339,91.5
Term,Smoking status (any time during pregnancy),Not stated,2012,4878,5692,85.7
Post-term,Smoking status (any time during pregnancy),Smoked,2012,173,38220,0.5
Post-term,Smoking status (any time during pregnancy),Did not smoke,2012,1697,268339,0.6
Post-term,Smoking status (any time during pregnancy),Not stated,2012,22,5692,0.4
Not stated,Smoking status (any time during pregnancy),Smoked,2012,4,38220,0
Not stated,Smoking status (any time during pregnancy),Did not smoke,2012,68,268339,0
Not stated,Smoking status (any time during pregnancy),Not stated,2012,10,5692,0.2
Pre-term,Socioeconomic status,Q1 (most disadvantaged),2012,6151,65964,9.3
Pre-term,Socioeconomic status,Q2,2012,5335,61087,8.7
Pre-term,Socioeconomic status,Q3,2012,5114,60120,8.5
Pre-term,Socioeconomic status,Q4,2012,4795,59777,8
Pre-term,Socioeconomic status,Q5 (least disadvantaged),2012,4278,56211,7.6
Pre-term,Socioeconomic status,Not stated,2012,828,8868,9.3
Term,Socioeconomic status,Q1 (most disadvantaged),2012,59407,65964,90.1
Term,Socioeconomic status,Q2,2012,55364,61087,90.6
Term,Socioeconomic status,Q3,2012,54648,60120,90.9
Term,Socioeconomic status,Q4,2012,54603,59777,91.3
Term,Socioeconomic status,Q5 (least disadvantaged),2012,51559,56211,91.7
Term,Socioeconomic status,Not stated,2012,7975,8868,89.9
Post-term,Socioeconomic status,Q1 (most disadvantaged),2012,393,65964,0.6
Post-term,Socioeconomic status,Q2,2012,382,61087,0.6
Post-term,Socioeconomic status,Q3,2012,348,60120,0.6
Post-term,Socioeconomic status,Q4,2012,361,59777,0.6
Post-term,Socioeconomic status,Q5 (least disadvantaged),2012,346,56211,0.6
Post-term,Socioeconomic status,Not stated,2012,59,8868,0.7
Not stated,Socioeconomic status,Q1 (most disadvantaged),2012,13,65964,0
Not stated,Socioeconomic status,Q2,2012,6,61087,0
Not stated,Socioeconomic status,Q3,2012,10,60120,0
Not stated,Socioeconomic status,Q4,2012,18,59777,0
Not stated,Socioeconomic status,Q5 (least disadvantaged),2012,28,56211,0
Not stated,Socioeconomic status,Not stated,2012,6,8868,0.1
Pre-term,State and territory of birth,NSW,2012,7535,99507,7.6
Pre-term,State and territory of birth,Vic,2012,6533,78393,8.3
